Timestamp;Source;Project;Model;Model Name;PromptType;Resolution;Resolution Name;RunID;Test Type;TestModule;ReadableName;Status;ExecutionTime(sec);Step count;ErrorType;FilePath
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;ui;test_accessories;Product pages;ERROR;2.58;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\1\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;ui;test_clothes;Product pages;ERROR;3.38;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\1\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;ui;test_home;Home page;ERROR;10.66;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\1\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;ui;test_login;Authorization process;ERROR;2.38;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;ui;test_register;Registration process;ERROR;2.52;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;ui;test_login;Authorization process;ERROR;49.34;3;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\3\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_register;Registration process;ERROR;73.75;4;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;2;ui;test_clothes;Product pages;LOAD_ERROR;0.0;0;Other;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\2\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;2;ui;test_home;Home page;ERROR;2.59;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\2\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;ui;test_clothes;Product pages;ERROR;73.67;3;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\3\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);detailed;NO;No screenshot;1;ui;test_art;Product pages;ERROR;45.46;1;NoSuchElement;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\detailed\1\test_art.py
